	
	
  Nel mezzo del cammin di nostra vita	 |Nel |mez|zo |del |cam|min |di |no|stra |vi|ta             
  mi ritrovai per una selva oscura,	 |mi |ri|tro|vai |per |u|na |sel|va o|scu|ra,               
  ché la diritta via era smarrita.	 |ché |la |di|rit|ta |via |e|ra |smar|ri|ta.                
	
  Ahi quanto a dir qual era è cosa dura	 |Ahi |quan|to a |dir |qual |e|ra è |co|sa |du|ra           
  esta selva selvaggia e aspra e forte	 |e|sta |sel|va |sel|vag|gia e |a|spra e |for|te            
  che nel pensier rinova la paura!	 |che |nel |pen|sier |ri|no|va |la |pa|u|ra!                
	
  Tant’ è amara che poco è più morte;	 |Tan|t’ è |a|ma|ra |che |po|co è |più |mor|te;             
  ma per trattar del ben ch’i’ vi trovai,	 |ma |per |trat|tar |del |ben |ch’ i’ |vi |tro|vai,         
  dirò de l’altre cose ch’i’ v’ho scorte.	 |di|rò |de |l’ al|tre |co|se |ch’ i’ |v’ ho |scor|te.      
	
  Io non so ben ridir com’ i’ v’intrai,	 |Io |non |so |ben |ri|dir |com’ |i’ |v’ in|trai,           
  tant’ era pien di sonno a quel punto	 |tan|t’ e|ra |pien |di |son|no |a |quel |pun|to            
  che la verace via abbandonai.	 |che |la |ve|ra|ce |via |ab|ban|do|nai.                    
	
  Ma poi ch’i’ fui al piè d’un colle giunto,	 |Ma |poi |ch’ i’ |fui |al |piè |d’ un |col|le |giun|to,    
  là dove terminava quella valle	 |là |do|ve |ter|mi|na|va |quel|la |val|le                  
  che m’avea di paura il cor compunto,	 |che |m’ a|vea |di |pa|u|ra il |cor |com|pun|to,           
	
  guardai in alto e vidi le sue spalle	 |guar|dai |in |al|to e |vi|di |le |sue |spal|le            
  vestite già de’ raggi del pianeta	 |ve|sti|te |già |de’ |rag|gi |del |pia|ne|ta               
  che mena dritto altrui per ogne calle.	 |che |me|na |drit|to al|trui |per |o|gne |cal|le.          
	
  Allor fu la paura un poco queta,	 |Al|lor |fu |la |pa|u|ra un |po|co |que|ta,                
  che nel lago del cor m’era durata	 |che |nel |la|go |del |cor |m’ e|ra |du|ra|ta              
  la notte ch’i’ passai con tanta pieta.	 |la |not|te |ch’ i’ |pas|sai |con |tan|ta |pie|ta.         
	
  E come quei che con lena affannata,	 |E |co|me |quei |che |con |le|na af|fan|na|ta,             
  uscito fuor del pelago a la riva,	 |u|sci|to |fuor |del |pe|la|go a |la |ri|va,               
  si volge a l’acqua perigliosa e guata,	 |si |vol|ge a |l’ ac|qua |pe|ri|glio|sa e |gua|ta,         
	
  così l’animo mio, ch’ancor fuggiva,	 |co|sì |l’ a|ni|mo |mio, |ch’ an|cor |fug|gi|va,           
  si volse a retro a rimirar lo passo	 |si |vol|se a |re|tro a |ri|mi|rar |lo |pas|so             
  che non lasciò già mai persona viva.	 |che |non |la|sciò |già |mai |per|so|na |vi|va.            
	
  Poi ch’èi posato un poco il corpo lasso,	 |Poi |ch’ èi |po|sa|to un |po|co il |cor|po |las|so,       
  ripresi via per la piaggia diserta,	 |ri|pre|si |via |per |la |piag|gia |di|ser|ta,             
